siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
NH02,NA0317OW,"1979-01-09 14:00","1979-01-16 14:00",197901,4.720,9.400," ",.040," ",.010," ",.005," ",.205,<,.020," ",.700," ",.100," ",1.100,0,-9,1369.000,24.890,24.890,"w ","            ",1985-05-17
NH02,NA0351OW,"1979-01-16 14:00","1979-01-23 14:00",197901,5.060,6.100," ",.050," ",.004," ",.007," ",.185,<,.020," ",.950," ",.140," ",.550,0,-9,2957.000,60.710,60.710,"w ","            ",1985-05-17
NH02,NA0366OW,"1979-01-23 14:00","1979-01-30 14:00",197901,5.010,14.400," ",.190," ",.012," ",.022," ",1.187,<,.020," ",.500," ",.250," ",2.200,0,-9,950.000,19.560,19.560,"w ","            ",1985-05-17
NH02,NA0390OW,"1979-01-30 14:00","1979-02-06 14:00",197902,4.800,7.500," ",.020," ",.010," ",.005," ",.028,<,.020," ",.600," ",.150," ",.300,0,-9,624.000,12.950,12.950,"w ","            ",1985-05-17
NH02,NA0418OW,"1979-02-06 14:00","1979-02-13 14:00",197902,4.930,11.100," ",.380," ",.021," ",.014," ",.600,<,.020," ",1.100," ",.250," ",.900,0,-9,156.000,4.320,4.320,"w ","            ",1985-05-17
NH02,NA0455OW,"1979-02-13 14:00","1979-02-20 14:00",197902,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
NH02,NA0485OW,"1979-02-20 14:00","1979-02-27 21:30",197902,4.240,33.600," ",.260," ",.091," ",.015," ",.648," ",.150," ",2.800," ",.350," ",3.800,0,-9,638.000,41.400,41.400,"w ","            ",1996-02-09
NH02,NA0490OW,"1979-02-27 21:30","1979-03-06 21:30",197903,4.340,27.800," ",.090," ",.117," ",.034," ",.910," ",.080," ",1.500," ",1.550," ",2.300,0,-9,2505.000,39.370,39.370,"w ","            ",1985-05-17
NH02,NA0510OW,"1979-03-06 21:30","1979-03-13 13:20",197903,4.770,9.300," ",.070," ",.012,<,.002," ",.110,<,.020," ",1.000," ",.100," ",.500,0,-9,1545.000,44.960,44.960,"w ","            ",1985-05-17
NH02,NA0534OW,"1979-03-13 13:20","1979-03-20 13:35",197903,4.250,38.900," ",.250," ",.048," ",.035," ",.453," ",.600," ",2.550," ",.350," ",4.250,0,-9,752.000,11.430,11.430,"w ","            ",1985-05-17
NH02,NA0560OW,"1979-03-20 13:35","1979-03-27 13:50",197903,4.530,26.700," ",.110," ",.210," ",.069," ",1.691," ",.080," ",.600," ",2.800," ",1.900,0,-9,1166.000,16.510,16.510,"w ","            ",1985-05-17
NH02,NA0587OW,"1979-03-27 13:50","1979-04-03 14:00",197903,4.240,25.500," ",.200," ",.043," ",.058," ",.675," ",.250," ",2.550," ",.920," ",3.400,0,-9,2320.000,35.310,35.310,"w ","            ",1985-05-17
NH02,NA0615OW,"1979-04-03 14:00","1979-04-10 14:30",197904,4.660,10.200," ",.100," ",.013," ",.008," ",.154," ",.080," ",1.000,<,.050," ",1.400,0,-9,1464.000,24.130,24.130,"w ","            ",1985-05-17
NH02,NA0655OW,"1979-04-10 14:30","1979-04-17 14:00",197904,5.490,12.200," ",.220," ",.031," ",.014," ",1.235," ",.120," ",1.200," ",.250," ",2.450,0,-9,314.000,4.570,4.570,"w ","            ",1985-05-17
NH02,NA0670OW,"1979-04-17 14:00","1979-04-24 13:30",197904,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,31.500,.250,.250,"  ","li          ",1986-02-17
NH02,NA0697OW,"1979-04-24 13:30","1979-05-01 11:40",197904,4.330,20.900," ",.060," ",.024," ",.017," ",.133," ",.080," ",1.030," ",.450," ",2.200,0,-9,3990.000,60.200,60.200,"w ","            ",1985-05-17
NH02,NA0720OW,"1979-05-01 12:40","1979-05-08 13:15",197905,4.060,34.200," ",.100," ",.025," ",.014," ",.055," ",.380," ",3.200," ",.080," ",3.150,0,-9,1626.000,23.370,23.370,"w ","            ",1985-05-17
NH02,NA0747OW,"1979-05-08 13:15","1979-05-15 13:10",197905,3.960,47.000," ",.170," ",.050," ",.023," ",.191," ",.080," ",2.900," ",.180," ",4.750,0,-9,435.500,6.600,6.600,"w ","            ",1996-02-09
NH02,NA0789OW,"1979-05-15 13:10","1979-05-22 13:00",197905,4.500,15.100," ",.090," ",.032," ",.081," ",.123," ",.200," ",.850," ",.100," ",1.900,0,-9,1094.500,14.480,14.480,"w ","            ",1985-05-17
NH02,NA0818OW,"1979-05-22 13:00","1979-05-29 13:00",197905,4.520,15.500," ",.060," ",.015," ",.008," ",.299," ",.050," ",1.100," ",.150," ",1.650,0,-9,5897.000,86.360,86.360,"w ","            ",1985-05-17
NH02,NA0911OW,"1979-05-29 13:00","1979-06-05 12:20",197906,4.150,42.900," ",.420," ",.137," ",.036," ",.869," ",.310," ",3.650," ",.230," ",5.700,0,-9,863.500,11.430,11.430,"w ","            ",1985-05-17
NH02,NA0878OW,"1979-06-05 12:20","1979-06-12 13:00",197906,4.400,22.400," ",.200," ",.065," ",.056," ",.218," ",.300," ",1.700," ",.200," ",2.700,0,-9,1148.000,16.260,16.260,"w ","            ",1985-05-17
NH02,NA0906OW,"1979-06-12 13:00","1979-06-19 13:00",197906,6.680,10.200," ",.490," ",.106," ",.219," ",.876,<,.020,<,.020," ",.170," ",1.550,0,-9,85.000,.760,.760,"w ","            ",1985-05-17
NH02,NA0960OW,"1979-06-19 13:00","1979-06-26 13:10",197906,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1986-02-01
NH02,NA0959OW,"1979-06-26 13:10","1979-07-03 14:05",197906,4.180,29.600," ",.060," ",.016," ",.011," ",.054," ",.140," ",1.250," ",.140," ",2.730,0,-9,3879.000,58.420,58.420,"w ","            ",1985-05-17
NH02,NA0992OW,"1979-07-03 14:05","1979-07-10 14:00",197907,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,4.500,.000,.000,"d ","            ",1985-06-06
NH02,NA1024OW,"1979-07-10 14:00","1979-07-17 14:00",197907,4.110,35.700," ",.150," ",.091," ",.016," ",.183," ",.300," ",1.800," ",.200," ",4.000,0,-9,796.500,11.680,11.680,"w ","            ",1985-05-17
NH02,NA1065OW,"1979-07-17 14:00","1979-07-24 14:15",197907,4.380,19.600," ",.060," ",.013," ",.036," ",.209," ",.200," ",1.230," ",.130," ",2.120,0,-9,1146.000,16.260,16.260,"w ","            ",1985-05-17
NH02,NA1102OW,"1979-07-24 14:15","1979-07-31 14:15",197907,4.320,26.500," ",.090," ",.027," ",.014," ",.770,<,.020," ",1.700," ",.100," ",2.850,0,-9,597.500,8.640,8.640,"w ","            ",1985-05-17
